file,method,missing_type,missing_percent,iteration,column,f1_score,accuracy,mcc
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2265,0.8048780487804879,0.7611940298507462,0.4986410102898247
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2300,0.6545454545454545,0.7076923076923077,0.40987803063838396
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2322,0.7837837837837838,0.7538461538461538,0.5218937836940457
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2347,0.8990825688073395,0.8166666666666667,-0.0582222509739582
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2841,0.9090909090909091,0.84375,0.43188248845092064
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2862,0.7096774193548387,0.8333333333333334,0.5998334237692365
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2876,0.7936507936507936,0.75,0.47716681783524173
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2890,0.9591836734693877,0.9272727272727272,0.6788109558083828
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_2919,0.8979591836734694,0.8214285714285714,0.28159564220917915
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3144,0.375,0.726027397260274,0.3145790339530366
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3145,0.64,0.6896551724137931,0.4105134629438423
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3153,0.6666666666666666,0.9491525423728814,0.6879057244377937
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3166,0.6666666666666666,0.9,0.6666666666666666
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3169,0.18181818181818182,0.7230769230769231,0.0645385575621177
NA_MCAR_20_12.csv,rf,MCAR,20,12,Q_3420,0.9024390243902439,0.8367346938775511,0.5235208439728776
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2265,0.8461538461538461,0.8333333333333334,0.6761234037828132
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2300,0.5925925925925926,0.5925925925925926,0.18681318681318682
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2322,0.8444444444444444,0.8108108108108109,0.604339972352751
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2347,0.9117647058823529,0.8421052631578947,0.34596404392815117
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2841,0.9310344827586207,0.8787878787878788,0.45434411125112145
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2862,0.5882352941176471,0.7586206896551724,0.4779197223550799
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2876,0.7916666666666666,0.7297297297297297,0.4885357034240944
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2890,0.9523809523809523,0.9166666666666666,0.674199862463242
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_2919,0.9433962264150944,0.9,0.5229763603684907
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3144,0.4,0.7857142857142857,0.43852900965351466
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3145,0.8444444444444444,0.8372093023255814,0.696745366888215
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3153,0.4444444444444444,0.8333333333333334,0.35082320772281167
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3166,0.5454545454545454,0.8076923076923077,0.5417363388859614
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3169,0.5882352941176471,0.78125,0.5555555555555556
NA_MCAR_10_66.csv,rf,MCAR,10,66,Q_3420,0.9302325581395349,0.8846153846153846,0.6593804733957871
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2265,,,
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2300,0.45454545454545453,0.625,0.23734340598141013
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2322,0.9193548387096774,0.8795180722891566,0.6961189430597818
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2347,,0.9180327868852459,
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2841,0.918918918918919,0.8571428571428571,0.40819885729827166
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2862,0.4827586206896552,0.8051948051948052,0.4604693310427067
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2876,,,
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2890,0.912,0.8382352941176471,-0.05072810065017076
NA_MAR_20_69.csv,rf,MAR,20,69,Q_2919,0.9594594594594594,0.9259259259259259,0.5383892771022006
NA_MAR_20_69.csv,rf,MAR,20,69,Q_3144,,,
NA_MAR_20_69.csv,rf,MAR,20,69,Q_3145,0.6567164179104478,0.6973684210526315,0.40629673386591486
NA_MAR_20_69.csv,rf,MAR,20,69,Q_3153,0.18181818181818182,0.8767123287671232,0.2958039891549808
NA_MAR_20_69.csv,rf,MAR,20,69,Q_3166,0.5,0.9166666666666666,0.4930584322847129
NA_MAR_20_69.csv,rf,MAR,20,69,Q_3169,0.47058823529411764,0.7567567567567568,0.3759967359773447
