file,method,missing_type,missing_percent,iter,column,imputer,f1_score,accuracy,mcc
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2265,xgb,0.7883211678832117,0.7521367521367521,0.49867103219509873
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2300,xgb,0.5542168674698795,0.6782608695652174,0.4043772108023245
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2322,xgb,0.8769230769230769,0.8558558558558559,0.708281118431487
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2347,xgb,0.9082125603864735,0.8347826086956521,0.21276612408674753
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2841,xgb,0.898989898989899,0.8245614035087719,0.32666137439816495
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2862,xgb,0.5925925925925926,0.8307692307692308,0.5482549694954159
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2876,xgb,0.7469879518072289,0.6585365853658537,0.23611346448991244
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2890,xgb,0.92,0.8584070796460177,0.37526759754024896
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_2919,xgb,0.9327354260089686,0.8780487804878049,0.3222950992883309
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3144,xgb,0.2777777777777778,0.7699115044247787,0.2692576033969382
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3145,xgb,0.6962962962962963,0.6495726495726496,0.29400037372049936
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3153,xgb,0.3,0.8771929824561403,0.3346920745799666
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3166,xgb,0.3333333333333333,0.8,0.35783482646915554
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3169,xgb,0.23076923076923078,0.6363636363636364,0.06675015657623451
NA_MNAR_40_0.csv,xgb,MNAR,40,0,Q_3420,xgb,0.9025641025641026,0.8303571428571429,0.31088091417902924
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2265,xgb,0.84,0.7714285714285715,0.4668995278238409
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2300,xgb,0.6122448979591837,0.5777777777777777,0.16333965194414124
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2322,xgb,0.8648648648648649,0.8148148148148148,0.5735393346764044
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2347,xgb,,0.90625,
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2841,xgb,0.8285714285714286,0.7209302325581395,0.15774290243912734
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2862,xgb,0.6666666666666666,0.9,0.6666666666666666
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2876,xgb,,,
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2890,xgb,0.9032258064516129,0.8285714285714286,0.21462546253307746
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_2919,xgb,,,
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3144,xgb,0.3333333333333333,0.7837837837837838,0.3927922024247863
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3145,xgb,,,
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3153,xgb,,0.9230769230769231,
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3166,xgb,0.11764705882352941,0.6052631578947368,0.19277490023901495
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3169,xgb,0.2857142857142857,0.868421052631579,0.2568915451961508
NA_MAR_10_0.csv,xgb,MAR,10,0,Q_3420,xgb,0.9454545454545454,0.896551724137931,-0.05143444998736397
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2265,xgb,0.8636363636363636,0.8125,0.5962847939999439
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2300,xgb,0.7333333333333333,0.7142857142857143,0.43301270189221935
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2322,xgb,0.8205128205128205,0.75,0.4303314829119352
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2347,xgb,,0.9032258064516129,
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2841,xgb,0.9230769230769231,0.8571428571428571,-0.06666666666666667
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2862,xgb,0.5,0.8181818181818182,0.5163977794943223
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2876,xgb,0.7894736842105263,0.7142857142857143,0.35355339059327373
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2890,xgb,0.9090909090909091,0.8461538461538461,0.5270462766947299
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_2919,xgb,,0.896551724137931,
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3144,xgb,0.4,0.8571428571428571,0.4609772228646444
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3145,xgb,0.7777777777777778,0.75,0.498071218278486
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3153,xgb,,0.8666666666666667,
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3166,xgb,,0.875,
NA_MNAR_10_1.csv,xgb,MNAR,10,1,Q_3169,xgb,0.3076923076923077,0.6896551724137931,0.1267731382092775
