"year_from","year_to","log_area","region_africa","region_central_eurasia","region_east_asia","region_europe","region_north_america","region_oceania_australia","region_south_america","region_south_asia","region_southeast_asia","region_southwest_asia","X4654","X4676","X4729","X4745","X4776","X4780","X4794","X4827","X4954","X5132","X5137","X5196","X5220","X5226"
1900,2017,8.88363201109498,"0","0","0","0","0","0","0","0","1","0","1","0",NA,"1","1","1","1","1","1","0","0","0","0","1"
11,12,12.1616811328479,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0",NA,NA
-600,-200,14.4127590721712,"0","0","1","0","0","0","0","0","0","0","1",NA,"1","1","1","1","0","1","1","0","0","0","0","0"
-400,-200,14.4127590721712,"0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","0","0","0"
1925,1960,10.1503089687329,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","1"
1965,2018,15.8608425048946,"0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1550,1640,12.9142815004369,"0","0","0","0","0","0","0","1","0","0",NA,NA,"1","0","1","1","1","1","1","0","0",NA,"1","1"
1905,1935,2.34968254487046,"0","0","0","0","0","1","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","0","1"
1200,2018,7.17228199492443,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","0","0","0"
1879,1909,7.10942277966777,"0","0","0","0","0","0","1","0","0","0","1",NA,"0","1","1","1","1","1","0","0","0","0","0","1"
-650,-409,2.7141168597467,"0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
1238,2018,13.7555174016073,"0","0","0","0","0","0","0","1","0","0","1","0",NA,"0","1","1","1","1","1","0","0","0","0","0"
1890,1920,8.59375525148435,"0","0","0","0","0","0","0","0","1","0",NA,"1","0","0","1","1","1","1","1","0","0","0","0","1"
1900,1924,9.11759961462373,"0","0","0","0","0","0","1","0","0","0","1","0",NA,"0","1","1","1","1","1","0","0","0","0","1"
716,900,5.5725057870084,"0","0","1","0","0","0","0","0","0","0","1","1","1",NA,"0","1","1","1",NA,"0","0","0","1","1"
1100,2020,8.95483553197152,"0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0",NA,"0",NA,"0","0","0","1"
1889,2018,9.95934421032552,"0","0","0","0","1","0","0","0","0","0","1","0","1",NA,"1","1",NA,"1","1","0","0","0","1","0"
700,2019,11.8265486674881,"0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1",NA,"0","0","0","0","0"
1918,1945,7.51976986043236,"0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","1"
1198,1250,15.572798759376,"0","1","0","1","1","0","0","0","0","1","1","1","1","1",NA,"1","1",NA,"1","0","0","0","0","1"
1113,1147,12.1260398217515,"0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1"
1900,1925,10.03991222949,"0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1"
1820,1840,-1.99042877784403,"0","0","0","0","0","1","0","0","0","0","1","1","0","1","1",NA,"1","1",NA,"1","0","0","0","1"
1198,1500,14.1813198694417,"0","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1",NA,"1",NA,"0",NA,"0",NA
1915,1940,9.70662864956614,"0","0","0","0","0","0","0","1","0","0","1","1",NA,"0","1","1","1","1","1","0",NA,"1","0","1"
1850,2019,12.1465897809904,"0","0","0","0","0","0","0","1","0","0","1","0",NA,"1","1","1","0","1","1","0","0","0","0","0"
1940,1966,6.46977278642197,"0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1"
