entry_id,year_from,year_to,region_africa,region_central_eurasia,region_east_asia,region_europe,region_north_america,region_oceania_australia,region_south_america,region_south_asia,region_southeast_asia,region_southwest_asia,entrytag_9,entrytag_14,entrytag_18,entrytag_24,entrytag_38,entrytag_123,entrytag_508,entrytag_510,entrytag_905,entrytag_14828
300,-1200,-515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
308,-900,-501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310,1325,1519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325,-193,-168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
337,1300,1550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
338,1800,1950,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
341,45,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
342,50,150,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
348,-1600,-1365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
354,-330,-125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355,50,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
358,1500,1699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
361,-500,-300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1860,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
374,800,1600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
378,1880,1951,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
381,1469,1606,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
383,1200,1700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
386,1877,1877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
387,1889,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
389,1840,1970,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
390,1610,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
392,1606,1708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
395,1966,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
400,1980,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
406,142,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
415,1970,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
416,1800,1918,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
418,1900,1950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,1970,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
420,1800,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
422,-1500,396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,-500,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,-550,-330,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
430,1865,1933,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
432,1871,1914,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
435,1206,1368,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
436,500,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
437,1500,1770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
438,1850,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
439,800,1500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
440,900,1200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
441,1690,2017,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
442,311,427,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
443,1634,2017,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
444,1920,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
446,1500,1750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
447,1820,1940,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
448,1718,1990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
450,1580,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
451,1430,1987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
453,1985,2017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
455,1292,1558,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
456,-165,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
457,2013,2017,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
458,1869,2017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
459,-1100,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,1956,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
461,1597,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
462,1550,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
463,1770,1980,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
464,1762,1989,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
465,2014,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
468,1870,2017,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
469,1916,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,-800,-500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2015,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
472,1110,2017,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
476,1000,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
477,1833,1845,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
478,-450,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
479,-2900,-2300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
481,1780,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
482,1700,2000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,2015,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
484,2015,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
485,500,1500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,1830,1951,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
487,1502,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
