Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,miceRF,X4729,X4776,-0.039420938985009576,-0.03636745714203945
MAR,10,1,miceRF,X4729,X4780,-0.07511823494614298,-0.06473645521086799
MAR,10,1,miceRF,X4729,X4794,-0.019198646680501544,-0.01897392409869289
MAR,10,1,miceRF,X4729,X4828,0.2593770060105025,0.2299264856220009
MAR,10,1,miceRF,X4729,X4954,0.03339604365470998,0.016778212536759825
MAR,10,1,miceRF,X4729,X5196,0.08442936399243549,0.09385699705006105
MAR,10,1,miceRF,X4729,X5220,0.11297776096650695,0.13874686037418416
MAR,10,1,miceRF,X4729,X5226,-0.14181228161804507,-0.10771696653379967
MAR,10,1,miceRF,X4745,X4776,-0.04755867404892234,-0.050181018922671475
MAR,10,1,miceRF,X4745,X4780,0.022871412401678868,0.055799417520644885
MAR,10,1,miceRF,X4745,X4794,0.32942204912556916,0.268279543251643
MAR,10,1,miceRF,X4745,X4828,-0.03625601174099287,-0.02620161734991923
MAR,10,1,miceRF,X4745,X4954,0.05991069443423865,0.016735011701756345
MAR,10,1,miceRF,X4745,X5196,0.18851541041753805,0.14068325473422155
MAR,10,1,miceRF,X4745,X5220,0.2053009022573063,0.14378593267095488
MAR,10,1,miceRF,X4745,X5226,0.17814625364561698,0.16999265411440562
MAR,10,1,miceRF,X4776,X4780,0.20718306749297075,0.24379413258664143
MAR,10,1,miceRF,X4776,X4794,0.04744317966081159,0.05046038778396405
MAR,10,1,miceRF,X4776,X4828,0.0268928604497047,0.12861802823771798
MAR,10,1,miceRF,X4776,X4954,0.17110590491418556,0.1338426719343554
MAR,10,1,miceRF,X4776,X5196,0.010769979595619854,0.0451035025241147
MAR,10,1,miceRF,X4776,X5220,-0.035363841004637166,-0.07087938835709018
MAR,10,1,miceRF,X4776,X5226,-0.011809596141917369,-0.007746619419508894
MAR,10,1,miceRF,X4780,X4794,0.03309907911159734,0.06930975704843247
MAR,10,1,miceRF,X4780,X4828,0.11338773642554473,0.09376154697952639
MAR,10,1,miceRF,X4780,X4954,0.11937327817625405,0.15134503786370276
MAR,10,1,miceRF,X4780,X5196,0.0075137545420497776,-0.01112865065336369
MAR,10,1,miceRF,X4780,X5220,0.08540252551527888,0.07381878855044435
MAR,10,1,miceRF,X4780,X5226,0.08365805205931719,0.09021402039947879
MAR,10,1,miceRF,X4794,X4828,-0.10340253000749859,-0.03484646169362529
MAR,10,1,miceRF,X4794,X4954,0.023889661829999725,0.007741875639069854
MAR,10,1,miceRF,X4794,X5196,0.07804819248859426,0.11311799255765445
MAR,10,1,miceRF,X4794,X5220,0.22125520449865627,0.17798664305092127
MAR,10,1,miceRF,X4794,X5226,0.293182992258981,0.3428432546916838
MAR,10,1,miceRF,X4828,X4954,0.0898312082395111,0.1055726046626313
MAR,10,1,miceRF,X4828,X5196,0.0867489979267865,0.03038896265555812
MAR,10,1,miceRF,X4828,X5220,-0.08470571522883175,-0.1105624530422254
MAR,10,1,miceRF,X4828,X5226,0.005257824127121005,0.0440447481651056
MAR,10,1,miceRF,X4954,X5196,0.05668076556096307,0.0016273398389410171
MAR,10,1,miceRF,X4954,X5220,0.01332638833778191,0.029637354281104956
MAR,10,1,miceRF,X4954,X5226,0.009115046960387117,0.010686725238417112
MAR,10,1,miceRF,X5196,X5220,0.010876706757180532,-0.035040177873582934
MAR,10,1,miceRF,X5196,X5226,0.19674565372836075,0.1926741547757656
MAR,10,1,miceRF,X5220,X5226,0.22752331878378967,0.19519977233871202
MAR,10,1,miceSample,X4676,X4729,-0.13458643807329113,-0.10025243191102032
MAR,10,1,miceSample,X4676,X4745,0.28750101650468146,0.22626706062742305
MAR,10,1,miceSample,X4676,X4776,-0.13607275948655725,-0.12574179606694708
MAR,10,1,miceSample,X4676,X4780,0.03227066473069483,0.02091656021785536
MAR,10,1,miceSample,X4676,X4794,0.28726106556196107,0.19861333896184344
MAR,10,1,miceSample,X4676,X4828,-0.05016493268689705,-0.03632501057262619
MAR,10,1,miceSample,X4676,X4954,-0.07620521767690396,-0.06821313990419799
MAR,10,1,miceSample,X4676,X5196,0.14065543365021957,0.11712293127257271
MAR,10,1,miceSample,X4676,X5220,0.1580721727478751,0.11609691391651018
MAR,10,1,miceSample,X4676,X5226,0.31866359788405507,0.2471469725757884
MAR,10,1,miceSample,X4729,X4745,0.1877755227700502,0.16901906152278087
MAR,10,1,miceSample,X4729,X4776,-0.039420938985009576,-0.034815531191139656
MAR,10,1,miceSample,X4729,X4780,-0.07511823494614298,-0.07286792513358888
MAR,10,1,miceSample,X4729,X4794,-0.019198646680501544,0.0026785981207296094
MAR,10,1,miceSample,X4729,X4828,0.2593770060105025,0.22556657928456736
MAR,10,1,miceSample,X4729,X4954,0.03339604365470998,0.020412414523193086
MAR,10,1,miceSample,X4729,X5196,0.08442936399243549,0.0710071602496726
MAR,10,1,miceSample,X4729,X5220,0.11297776096650695,0.12441815044835992
MAR,10,1,miceSample,X4729,X5226,-0.14181228161804507,-0.14012980994907412
MAR,10,1,miceSample,X4745,X4776,-0.04755867404892234,-0.05148927357300557
MAR,10,1,miceSample,X4745,X4780,0.022871412401678868,0.019885318643590395
MAR,10,1,miceSample,X4745,X4794,0.32942204912556916,0.23223846616662808
MAR,10,1,miceSample,X4745,X4828,-0.03625601174099287,0.03591744285856717
MAR,10,1,miceSample,X4745,X4954,0.05991069443423865,0.045282393792878586
MAR,10,1,miceSample,X4745,X5196,0.18851541041753805,0.11188957718941316
MAR,10,1,miceSample,X4745,X5220,0.2053009022573063,0.1752967549989774
MAR,10,1,miceSample,X4745,X5226,0.17814625364561698,0.15789739312638762
MAR,10,1,miceSample,X4776,X4780,0.20718306749297075,0.20718306749297077
MAR,10,1,miceSample,X4776,X4794,0.04744317966081159,0.04149928330725294
MAR,10,1,miceSample,X4776,X4828,0.0268928604497047,0.05658938140606804
MAR,10,1,miceSample,X4776,X4954,0.17110590491418556,0.1681916762360926
MAR,10,1,miceSample,X4776,X5196,0.010769979595619854,0.04669620449103788
MAR,10,1,miceSample,X4776,X5220,-0.035363841004637166,-0.06497525996518133
MAR,10,1,miceSample,X4776,X5226,-0.011809596141917369,0.006324232663635712
MAR,10,1,miceSample,X4780,X4794,0.03309907911159734,0.06668782816913701
MAR,10,1,miceSample,X4780,X4828,0.11338773642554473,0.06284570351627046
MAR,10,1,miceSample,X4780,X4954,0.11937327817625405,0.16526781036353608
MAR,10,1,miceSample,X4780,X5196,0.0075137545420497776,0.004790874478724161
MAR,10,1,miceSample,X4780,X5220,0.08540252551527888,-0.0015110154120219798
MAR,10,1,miceSample,X4780,X5226,0.08365805205931719,0.07752772379897802
MAR,10,1,miceSample,X4794,X4828,-0.10340253000749859,-0.07712463572677772
MAR,10,1,miceSample,X4794,X4954,0.023889661829999725,0.022964195176179827
MAR,10,1,miceSample,X4794,X5196,0.07804819248859426,0.07512886017123462
MAR,10,1,miceSample,X4794,X5220,0.22125520449865627,0.19279451056990876
MAR,10,1,miceSample,X4794,X5226,0.293182992258981,0.3038261423452356
MAR,10,1,miceSample,X4828,X4954,0.0898312082395111,0.11714029761408905
MAR,10,1,miceSample,X4828,X5196,0.0867489979267865,0.06202600672236028
MAR,10,1,miceSample,X4828,X5220,-0.08470571522883175,-0.07222501330251622
MAR,10,1,miceSample,X4828,X5226,0.005257824127121005,-0.02375809945680424
MAR,10,1,miceSample,X4954,X5196,0.05668076556096307,0.0756923296546252
MAR,10,1,miceSample,X4954,X5220,0.01332638833778191,0.0019047561458706281
MAR,10,1,miceSample,X4954,X5226,0.009115046960387117,0.032841489185125965
MAR,10,1,miceSample,X5196,X5220,0.010876706757180532,0.08171986080840471
MAR,10,1,miceSample,X5196,X5226,0.19674565372836075,0.162151731228016
MAR,10,1,miceSample,X5220,X5226,0.22752331878378967,0.16514527488337494
MAR,10,1,mode,X4676,X4729,-0.13458643807329113,-0.0966369730531834
MAR,10,1,mode,X4676,X4745,0.28750101650468146,0.2814371760867945
MAR,10,1,mode,X4676,X4776,-0.13607275948655725,-0.12262731479014582
MAR,10,1,mode,X4676,X4780,0.03227066473069483,0.036330189434368734
MAR,10,1,mode,X4676,X4794,0.28726106556196107,0.2614595114553262
MAR,10,1,mode,X4676,X4828,-0.05016493268689705,-0.007879278379281155
MAR,10,1,mode,X4676,X4954,-0.07620521767690396,-0.07127786510737052
MAR,10,1,mode,X4676,X5196,0.14065543365021957,0.14029707218624185
MAR,10,1,mode,X4676,X5220,0.1580721727478751,0.103119659114689
MAR,10,1,mode,X4676,X5226,0.31866359788405507,0.31841978804353066
MAR,10,1,mode,X4729,X4745,0.1877755227700502,0.20266195966371614
MAR,10,1,mode,X4729,X4776,-0.039420938985009576,-0.023487888238588432
MAR,10,1,mode,X4729,X4780,-0.07511823494614298,-0.061403771262535885
MAR,10,1,mode,X4729,X4794,-0.019198646680501544,0.005247988274075994
MAR,10,1,mode,X4729,X4828,0.2593770060105025,0.2712088440376208
MAR,10,1,mode,X4729,X4954,0.03339604365470998,0.03188485718284608
MAR,10,1,mode,X4729,X5196,0.08442936399243549,0.0705824571316117
MAR,10,1,mode,X4729,X5220,0.11297776096650695,0.14430209326066318
MAR,10,1,mode,X4729,X5226,-0.14181228161804507,-0.09208383701373042
MAR,10,1,mode,X4745,X4776,-0.04755867404892234,-0.03334091912568212
MAR,10,1,mode,X4745,X4780,0.022871412401678868,0.061453097521373436
MAR,10,1,mode,X4745,X4794,0.32942204912556916,0.2975587641935289
MAR,10,1,mode,X4745,X4828,-0.03625601174099287,0.015187607679621407
