metric,n_neighbors,weights,imputer_name,avg_f1_score
nan_euclidean,2,uniform,KNNImputer,0.5327651677608432
nan_euclidean,2,distance,KNNImputer,0.6304878352877042
nan_euclidean,3,uniform,KNNImputer,0.6377874754210157
nan_euclidean,3,distance,KNNImputer,0.6375297532045805
nan_euclidean,5,uniform,KNNImputer,0.6299197829867936
nan_euclidean,5,distance,KNNImputer,0.6405692347227155
nan_euclidean,7,uniform,KNNImputer,0.6092439170362869
nan_euclidean,7,distance,KNNImputer,0.6386228760743863
nan_euclidean,9,uniform,KNNImputer,0.6159829352240908
nan_euclidean,9,distance,KNNImputer,0.6179553720839491
nan_euclidean,12,uniform,KNNImputer,0.598362726246244
nan_euclidean,12,distance,KNNImputer,0.6144358308979282
nan_euclidean,15,uniform,KNNImputer,0.4602313427563104
nan_euclidean,15,distance,KNNImputer,0.6053119273130827
nan_euclidean,20,uniform,KNNImputer,0.4922408153303397
nan_euclidean,20,distance,KNNImputer,0.6115417517434024
nan_euclidean,30,uniform,KNNImputer,0.4968807491932
nan_euclidean,30,distance,KNNImputer,0.5685013319287455
