bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,imputer_name,avg_f1
True,3.0,sqrt,1,5,50,IterativeImputer_RandomForest,0.6752825626577909
True,3.0,sqrt,1,5,100,IterativeImputer_RandomForest,0.6161035962285987
True,3.0,sqrt,1,5,200,IterativeImputer_RandomForest,0.5726224029148598
True,3.0,sqrt,2,2,20,IterativeImputer_RandomForest,0.625423117195936
True,3.0,sqrt,2,2,50,IterativeImputer_RandomForest,0.6500749989414989
True,3.0,sqrt,2,2,100,IterativeImputer_RandomForest,0.5828414051645013
True,3.0,sqrt,2,2,200,IterativeImputer_RandomForest,0.5442716466296651
True,3.0,sqrt,2,5,20,IterativeImputer_RandomForest,0.6240550702975323
True,3.0,sqrt,2,5,50,IterativeImputer_RandomForest,0.6512383042790328
True,3.0,sqrt,2,5,100,IterativeImputer_RandomForest,0.6035908351239945
True,3.0,sqrt,2,5,200,IterativeImputer_RandomForest,0.5754588859537361
True,3.0,0.3,1,2,20,IterativeImputer_RandomForest,0.6896654989799155
True,3.0,0.3,1,2,50,IterativeImputer_RandomForest,0.6783042579840253
True,3.0,0.3,1,2,100,IterativeImputer_RandomForest,0.6805607411276142
True,3.0,0.3,1,2,200,IterativeImputer_RandomForest,0.6923318143701381
True,3.0,0.3,1,5,20,IterativeImputer_RandomForest,0.6854866195850224
True,3.0,0.3,1,5,50,IterativeImputer_RandomForest,0.679670723131261
True,3.0,0.3,1,5,100,IterativeImputer_RandomForest,0.68122426522734
True,3.0,0.3,1,5,200,IterativeImputer_RandomForest,0.687707481247796
True,3.0,0.3,2,2,20,IterativeImputer_RandomForest,0.6842434000959793
True,3.0,0.3,2,2,50,IterativeImputer_RandomForest,0.6737803762785654
True,3.0,0.3,2,2,100,IterativeImputer_RandomForest,0.6856196184852067
True,3.0,0.3,2,2,200,IterativeImputer_RandomForest,0.6788934075622293
True,3.0,0.3,2,5,20,IterativeImputer_RandomForest,0.6829802422012424
True,3.0,0.3,2,5,50,IterativeImputer_RandomForest,0.6829986694861828
True,3.0,0.3,2,5,100,IterativeImputer_RandomForest,0.6839519608924903
True,3.0,0.3,2,5,200,IterativeImputer_RandomForest,0.6694650939684125
True,5.0,sqrt,1,2,20,IterativeImputer_RandomForest,0.7074076260861925
True,5.0,sqrt,1,2,50,IterativeImputer_RandomForest,0.723987815133148
True,5.0,sqrt,1,2,100,IterativeImputer_RandomForest,0.71815142965004
True,5.0,sqrt,1,2,200,IterativeImputer_RandomForest,0.6977982964271261
True,5.0,sqrt,1,5,20,IterativeImputer_RandomForest,0.7142586752952306
True,5.0,sqrt,1,5,50,IterativeImputer_RandomForest,0.6902033811275298
True,5.0,sqrt,1,5,100,IterativeImputer_RandomForest,0.7230332778768155
True,5.0,sqrt,1,5,200,IterativeImputer_RandomForest,0.711739069039995
True,5.0,sqrt,2,2,20,IterativeImputer_RandomForest,0.711248395687911
True,5.0,sqrt,2,2,50,IterativeImputer_RandomForest,0.705110361571873
True,5.0,sqrt,2,2,100,IterativeImputer_RandomForest,0.7044945951269735
True,5.0,sqrt,2,2,200,IterativeImputer_RandomForest,0.6974089345932116
True,5.0,sqrt,2,5,20,IterativeImputer_RandomForest,0.708860586058453
True,5.0,sqrt,2,5,50,IterativeImputer_RandomForest,0.6930941311660871
True,5.0,sqrt,2,5,100,IterativeImputer_RandomForest,0.7085201613774663
True,5.0,sqrt,2,5,200,IterativeImputer_RandomForest,0.6929412463265117
True,5.0,0.3,1,2,20,IterativeImputer_RandomForest,0.726827830413374
True,5.0,0.3,1,2,50,IterativeImputer_RandomForest,0.7129755061436296
True,5.0,0.3,1,2,100,IterativeImputer_RandomForest,0.7118210170286988
True,5.0,0.3,1,2,200,IterativeImputer_RandomForest,0.7224705219996376
True,5.0,0.3,1,5,20,IterativeImputer_RandomForest,0.7147856815721209
True,5.0,0.3,1,5,50,IterativeImputer_RandomForest,0.7145000695875058
True,5.0,0.3,1,5,100,IterativeImputer_RandomForest,0.7220992849548701
True,5.0,0.3,1,5,200,IterativeImputer_RandomForest,0.7225216826044947
True,5.0,0.3,2,2,20,IterativeImputer_RandomForest,0.7107795633794944
True,5.0,0.3,2,2,50,IterativeImputer_RandomForest,0.7304797397973471
True,5.0,0.3,2,2,100,IterativeImputer_RandomForest,0.7196212864774558
True,5.0,0.3,2,2,200,IterativeImputer_RandomForest,0.7180427179967892
True,5.0,0.3,2,5,20,IterativeImputer_RandomForest,0.708662761061974
True,5.0,0.3,2,5,50,IterativeImputer_RandomForest,0.7024711980739716
True,5.0,0.3,2,5,100,IterativeImputer_RandomForest,0.7148157280975955
